# Agrgegation report 
# The Following industries were aggregated usingcaloric values: 
# Manufacure of Gas 
Country code|Industry name|Industry code 1|Industry code 2|Number of products to be aggregated|Product name|Product code 1|Product code 2|Aggregation Value|
ES|Mining of coal and lignite; extraction of peat (10)|i10|A_COAL|8|Anthracite|p10.a|C_ANTH|1.0|
ES|Mining of coal and lignite; extraction of peat (10)|i10|A_COAL|8|Coking Coal|p10.b|C_COKC|1.0|
ES|Mining of coal and lignite; extraction of peat (10)|i10|A_COAL|8|Other Bituminous Coal|p10.c|C_OTBC|1.0|
ES|Mining of coal and lignite; extraction of peat (10)|i10|A_COAL|8|Sub-Bituminous Coal|p10.d|C_SUBC|1.0|
ES|Mining of coal and lignite; extraction of peat (10)|i10|A_COAL|8|Patent Fuel|p10.e|C_PATF|1.0|
ES|Mining of coal and lignite; extraction of peat (10)|i10|A_COAL|8|Lignite/Brown Coal|p10.f|C_LIBC|1.0|
ES|Mining of coal and lignite; extraction of peat (10)|i10|A_COAL|8|BKB/Peat Briquettes|p10.g|C_BKBP|1.0|
ES|Mining of coal and lignite; extraction of peat (10)|i10|A_COAL|8|Peat|p10.h|C_PEAT|1.0|
ES|Extraction of natural gas and services related to natural gas extraction, excluding surveying|i11.b|A_GASE|2|Natural gas and services related to natural gas extraction, excluding surveying|p11.b|C_GASE|1.0|
ES|Extraction of natural gas and services related to natural gas extraction, excluding surveying|i11.b|A_GASE|2|Natural Gas Liquids|p11.b.1|C_GASL|1.0|
ES|Manufacture of coke oven products|i23.1|A_COKE|3|Coke Oven Coke|p23.1.a|C_COKE|1.0|
ES|Manufacture of coke oven products|i23.1|A_COKE|3|Gas Coke|p23.1.b|C_GCOK|1.0|
ES|Manufacture of coke oven products|i23.1|A_COKE|3|Coal Tar|p23.1.c|C_COTA|1.0|
ES|Petroleum Refinery|i23.2|A_REFN|18|Motor Gasoline|p23.20.a|C_MGSL|1.0|
ES|Petroleum Refinery|i23.2|A_REFN|18|Aviation Gasoline|p23.20.b|C_AGSL|1.0|
ES|Petroleum Refinery|i23.2|A_REFN|18|Gasoline Type Jet Fuel|p23.20.c|C_GJET|1.0|
ES|Petroleum Refinery|i23.2|A_REFN|18|Kerosene Type Jet Fuel|p23.20.d|C_KJET|1.0|
ES|Petroleum Refinery|i23.2|A_REFN|18|Kerosene|p23.20.e|C_KERO|1.0|
ES|Petroleum Refinery|i23.2|A_REFN|18|Gas/Diesel Oil|p23.20.f|C_DOIL|1.0|
ES|Petroleum Refinery|i23.2|A_REFN|18|Heavy Fuel Oil|p23.20.g|C_FOIL|1.0|
